oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
9,77,2018,2019.0,18.9,4,1,1,625000.0,5.0,0,36735.0,24.0,11.0,14.0,0,2
0,10,2015,2015.0,12.07,1,0,1,2695000.0,8.0,0,79000.0,31.0,13.0,17.0,0,8
16,138,2010,2010.0,12.05,1,1,2,650000.0,5.0,0,120000.0,13.0,8.0,10.0,2,8
25,238,2022,2022.0,22.0,4,0,1,550000.0,5.0,0,10000.0,22.0,7.0,8.0,2,2
27,265,2018,2018.0,21.5,1,1,1,825000.0,6.0,0,53645.0,20.0,11.0,6.0,0,8
9,76,2006,2006.0,15.3,4,1,2,220000.00000000003,5.0,0,100000.0,6.0,3.0,4.0,2,2
17,160,2014,2014.0,26.68,4,0,1,428000.0,5.0,0,53982.0,23.0,8.0,6.0,0,2
26,249,2014,2014.0,21.14,1,1,1,695000.0,5.0,0,110000.0,20.0,12.0,11.0,2,7
6,50,2019,2019.0,15.9,4,1,2,930000.0000000001,5.0,0,37741.0,29.0,13.0,16.0,2,8
17,155,2021,2021.0,22.05,4,1,1,455000.0,5.0,0,17367.0,17.0,6.0,5.0,0,2
9,73,2017,2017.0,19.67,1,1,1,1195000.0,6.0,0,94000.0,24.0,11.0,16.0,0,8
27,256,2021,2021.0,14.6,1,0,1,2175000.0,6.0,0,33700.0,24.0,15.0,16.0,0,8
17,179,2014,2014.0,22.38,4,1,3,442000.0,5.0,0,54601.0,26.0,7.0,7.0,0,2
17,179,2018,2018.0,28.4,1,1,1,690000.0,5.0,0,110000.0,26.0,10.0,5.0,2,2
17,160,2017,2017.0,23.1,4,1,2,500000.0,5.0,0,64000.0,21.0,10.0,10.0,2,2
1,15,2016,2016.0,21.76,1,0,1,3395000.0000000005,8.0,0,40525.0,33.0,15.0,15.0,0,7
17,163,2015,2015.0,26.21,1,1,1,650000.0,5.0,0,100000.0,21.0,11.0,9.0,2,7
8,66,2016,2016.0,19.0,4,0,2,537000.0,5.0,0,44154.0,22.0,12.0,12.0,0,2
25,240,2016,2016.0,19.98,1,1,1,750000.0,6.0,0,70000.0,24.0,13.0,11.0,2,5
26,248,2018,2018.0,15.1,4,0,1,1789999.9999999998,7.0,0,79000.0,31.0,13.0,15.0,0,7
27,273,2017,2018.0,23.84,4,1,2,468000.0,5.0,0,68039.0,22.0,10.0,7.0,2,2
17,175,2014,2014.0,18.5,4,1,2,420000.0,5.0,0,60000.0,16.0,9.0,7.0,2,2
9,90,2021,2021.0,20.0,4,1,1,919999.9999999999,6.0,0,10000.0,35.0,12.0,19.0,2,2
8,63,2013,2013.0,16.8,4,1,1,533000.0,5.0,0,49873.0,17.0,7.0,8.0,2,7
29,300,2013,2013.0,17.2,4,0,3,850000.0,7.0,0,90000.0,16.0,11.0,10.0,2,2
26,249,2017,2017.0,21.13,1,1,2,751000.0,5.0,0,48960.0,27.0,13.0,11.0,2,7
9,77,2014,2014.0,24.0,1,1,2,388000.0,5.0,0,70000.0,13.0,8.0,3.0,2,2
9,90,2013,2013.0,18.5,4,1,2,490000.00000000006,5.0,0,68000.0,19.0,11.0,10.0,0,2
16,133,2016,2016.0,25.32,1,1,1,494000.00000000006,5.0,0,23017.0,20.0,11.0,10.0,2,8
9,90,2013,2014.0,21.27,1,1,2,525000.0,6.0,0,83000.0,20.0,11.0,13.0,0,2
1,21,2016,2016.0,16.55,1,0,2,2890000.0,8.0,0,92000.0,40.0,13.0,13.0,0,8
17,184,2018,2018.0,20.51,4,1,1,550000.0,5.0,0,62139.0,21.0,9.0,12.0,0,2
9,89,2013,2013.0,19.2,3,1,1,365000.0,5.0,0,74000.0,14.0,6.0,5.0,0,2
25,238,2016,2016.0,24.04,4,0,2,420000.0,5.0,0,26500.0,21.0,9.0,7.0,0,2
30,308,2017,2017.0,27.03,1,0,1,1895000.0,8.0,0,81716.0,29.0,13.0,11.0,0,7
18,200,2018,2018.0,17.0,1,0,2,5990000.0,9.0,0,24000.0,38.0,15.0,13.0,0,7
16,146,2022,2022.0,17.0,4,0,1,1050000.0,6.0,0,10000.0,27.0,10.0,10.0,2,8
19,123,2021,2021.0,16.56,4,0,1,2075000.0,6.0,0,18000.0,24.0,5.0,23.0,0,8
8,61,2013,2013.0,19.4,4,1,1,394000.0,5.0,0,38197.0,16.0,8.0,5.0,2,2
17,157,2017,2017.0,19.56,4,0,2,725000.0,5.0,0,23000.0,27.0,11.0,15.0,0,2
17,156,2013,2013.0,20.92,4,1,1,240000.0,5.0,0,50000.0,7.0,5.0,3.0,2,2
25,239,2022,2022.0,19.03,4,0,1,835000.0,5.0,0,10000.0,25.0,11.0,15.0,2,8
9,77,2019,2019.0,18.9,4,1,1,695000.0,5.0,0,19000.0,24.0,11.0,14.0,2,2
13,107,2020,2020.0,16.5,4,0,1,1725000.0,7.0,0,14000.0,34.0,14.0,20.0,0,8
9,74,2014,2014.0,21.1,4,1,1,330000.0,5.0,0,29268.0,15.0,7.0,7.0,0,2
29,305,2019,2019.0,18.19,4,0,1,990000.0,7.0,0,20000.0,28.0,12.0,13.0,2,7
28,295,2018,2018.0,17.1,4,1,1,750000.0,6.0,0,30000.0,26.0,13.0,11.0,2,7
8,66,2018,2018.0,19.0,4,0,1,755000.0,5.0,0,64374.0,22.0,12.0,12.0,1,2
19,122,2021,2021.0,17.41,1,1,1,1750000.0,6.0,0,30000.0,31.0,11.0,16.0,2,8
9,71,2022,2022.0,14.2,4,0,1,2082999.9999999998,6.0,0,7100.0,32.0,16.0,22.0,0,8
9,89,2010,2010.0,19.81,4,1,1,271000.0,5.0,0,43679.0,10.0,7.0,4.0,0,2
9,73,2018,2018.0,14.8,4,0,1,1280000.0,6.0,0,40000.0,30.0,12.0,16.0,2,8
9,90,2012,2012.0,22.54,1,1,1,436000.00000000006,6.0,0,40562.0,11.0,6.0,5.0,2,2
9,73,2021,2021.0,15.29,4,0,2,1675000.0,7.0,0,26500.0,26.0,12.0,18.0,0,8
9,85,2019,2019.0,18.15,4,0,1,1250000.0,7.0,0,20000.0,31.0,11.0,12.0,2,8
16,147,2016,2016.0,16.0,1,0,1,1350000.0,6.0,0,58600.0,28.0,10.0,15.0,2,8
29,301,2020,2020.0,18.4,4,0,1,2225000.0,7.0,0,42050.0,37.0,14.0,27.0,0,8
17,160,2015,2016.0,23.1,4,0,1,475000.0,5.0,0,65017.0,13.0,9.0,5.0,2,2
1,14,2008,2008.0,13.2,1,0,2,600000.0,6.0,0,80000.0,25.0,12.0,13.0,2,7
12,101,2021,2021.0,14.1,4,0,1,2450000.0,7.0,0,30000.0,38.0,13.0,23.0,2,8
13,107,2020,2020.0,16.5,4,0,1,1625000.0,7.0,0,20000.0,34.0,14.0,20.0,2,8
26,251,2014,2014.0,17.2,1,0,1,1650000.0,6.0,0,36349.0,18.0,10.0,10.0,1,7
9,89,2009,2009.0,20.36,4,1,3,249000.00000000003,5.0,0,80000.0,11.0,8.0,4.0,2,2
25,236,2014,2014.0,13.24,4,1,2,630000.0,5.0,0,83394.0,14.0,9.0,2.0,1,8
0,9,2016,2016.0,14.16,1,0,2,2599000.0,7.0,0,30000.0,30.0,12.0,19.0,2,8
17,156,2017,2017.0,24.39,4,1,1,385000.0,5.0,0,52204.0,20.0,6.0,5.0,2,2
9,90,2012,2012.0,17.0,4,1,3,300000.0,5.0,0,110000.0,17.0,12.0,9.0,2,2
6,51,2017,2017.0,10.91,1,0,1,2975000.0,6.0,0,89000.0,32.0,12.0,19.0,2,8
17,155,2014,2014.0,22.05,4,1,2,276000.0,5.0,0,29813.0,17.0,6.0,5.0,0,2
6,54,2018,2018.0,18.16,4,1,1,500000.0,5.0,0,30000.0,24.0,10.0,10.0,2,2
17,172,2020,2020.0,20.89,4,0,1,730000.0,5.0,0,13345.0,23.0,10.0,12.0,0,2
9,71,2022,2022.0,18.1,1,0,1,2245000.0,6.0,0,17100.0,32.0,16.0,22.0,0,8
9,77,2014,2014.0,18.9,4,1,1,399000.0,5.0,0,75000.0,17.0,9.0,9.0,0,2
9,89,2011,2011.0,20.36,4,1,2,312000.0,5.0,0,75523.0,11.0,8.0,5.0,0,2
16,147,2015,2015.0,16.0,1,1,1,1275000.0,6.0,0,47000.0,30.0,11.0,17.0,0,8
27,256,2022,2022.0,16.35,1,1,1,1989999.9999999998,6.0,0,36500.0,22.0,12.0,16.0,0,8
25,243,2020,2020.0,20.0,4,1,1,719000.0,5.0,0,28253.0,20.0,11.0,11.0,0,5
9,73,2016,2016.0,19.67,1,1,1,1260000.0,6.0,0,50000.0,24.0,11.0,16.0,2,8
9,89,2010,2010.0,20.36,4,1,2,300000.0,5.0,0,90000.0,10.0,7.0,3.0,2,2
1,23,2016,2016.0,15.97,1,0,2,3981000.0,8.0,0,70000.0,34.0,15.0,18.0,2,8
9,90,2016,2016.0,18.6,4,1,1,627000.0,5.0,0,52571.0,24.0,11.0,12.0,0,2
1,14,2010,2010.0,16.07,1,0,2,1300000.0,6.0,0,70000.0,25.0,12.0,14.0,2,7
8,63,2015,2015.0,17.4,4,1,1,672000.0,5.0,0,61993.0,23.0,10.0,8.0,0,7
9,84,2017,2017.0,16.38,1,0,1,1825000.0,6.0,0,57000.0,34.0,15.0,19.0,0,8
28,285,2021,2021.0,14.24,1,1,2,3500000.0,6.0,0,80000.0,35.0,12.0,19.0,2,8
9,90,2013,2013.0,18.5,4,1,1,440000.00000000006,5.0,0,36359.0,19.0,11.0,10.0,0,2
27,256,2019,2019.0,17.0,1,1,2,1460000.0,6.0,0,70000.0,35.0,12.0,12.0,2,8
19,122,2022,2022.0,13.96,4,0,1,2041000.0,8.0,0,7500.0,32.0,14.0,26.0,0,8
9,86,2017,2017.0,17.0,4,0,1,1033000.0,6.0,0,30301.0,31.0,13.0,10.0,0,7
9,89,2010,2010.0,20.36,4,1,1,275000.0,5.0,0,66000.0,11.0,8.0,4.0,0,2
9,90,2017,2017.0,18.6,4,1,1,676000.0,5.0,0,56010.0,21.0,10.0,10.0,0,2
18,206,2017,2017.0,17.9,1,0,1,4290000.0,9.0,0,47000.0,32.0,14.0,20.0,0,8
22,229,2014,2014.0,19.01,1,1,2,650000.0,6.0,0,60000.0,22.0,13.0,12.0,2,8
17,179,2014,2014.0,25.2,1,1,1,444000.00000000006,5.0,0,83829.0,21.0,10.0,9.0,2,2
25,238,2020,2020.0,22.0,4,0,1,509999.99999999994,5.0,0,10000.0,22.0,7.0,8.0,2,2
25,236,2016,2016.0,19.6,1,0,2,925000.0,6.0,0,35000.0,26.0,13.0,11.0,0,8
8,63,2019,2020.0,18.0,4,0,2,1024000.0,5.0,0,51116.0,28.0,11.0,11.0,0,7
26,249,2016,2016.0,21.14,1,1,3,500000.0,5.0,0,80000.0,20.0,13.0,9.0,2,7
29,300,2017,2017.0,17.21,4,0,2,994999.9999999999,7.0,0,40000.0,20.0,11.0,14.0,2,2
8,62,2012,2012.0,11.1,4,0,2,935000.0,5.0,0,85565.0,18.0,10.0,10.0,0,8
6,50,2018,2018.0,17.0,4,1,1,834000.0,5.0,0,36916.0,34.0,12.0,13.0,0,8
29,300,2015,2015.0,20.14,1,1,1,560000.0,5.0,0,90000.0,20.0,11.0,10.0,2,2
17,179,2012,2012.0,22.38,4,1,1,454000.0,5.0,0,112795.0,26.0,7.0,7.0,0,2
18,190,2021,2021.0,18.9,4,0,1,3690000.0,7.0,0,11000.0,40.0,16.0,22.0,0,7
28,289,2014,2014.0,11.4,4,1,2,1100000.0,5.0,0,120000.0,19.0,11.0,8.0,2,5
8,61,2016,2016.0,19.4,4,1,2,462000.0,5.0,0,36685.0,16.0,10.0,6.0,0,2
9,80,2012,2012.0,11.72,1,0,2,900000.0,6.0,0,120000.0,21.0,13.0,16.0,2,8
1,18,2022,2022.0,13.32,4,0,1,7900000.0,8.0,0,4000.0,36.0,15.0,19.0,0,7
17,157,2019,2019.0,21.4,4,0,2,843000.0,5.0,0,32184.0,28.0,12.0,13.0,2,2
17,158,2018,2019.0,21.1,4,1,1,799000.0,5.0,0,32279.0,25.0,12.0,14.0,0,2
9,90,2015,2015.0,18.6,4,1,1,576000.0,5.0,0,59698.0,24.0,11.0,12.0,0,2
25,235,2018,2018.0,20.37,1,1,1,949000.0,6.0,0,46071.0,30.0,13.0,14.0,0,8
17,183,2017,2017.0,24.3,1,1,1,795000.0,5.0,0,90000.0,25.0,11.0,12.0,2,8
9,85,2019,2019.0,18.27,4,1,1,1085000.0,6.0,0,9554.0,27.0,11.0,12.0,2,8
12,101,2022,2022.0,14.1,4,0,1,2590000.0,7.0,0,14000.0,37.0,12.0,23.0,0,8
25,236,2013,2013.0,20.45,1,1,2,516000.0,5.0,0,74499.0,14.0,9.0,2.0,2,8
6,50,2017,2017.0,14.8,4,0,2,777000.0,6.0,0,56211.0,30.0,11.0,11.0,0,8
8,66,2019,2019.0,18.2,4,1,1,753000.0,5.0,0,9001.0,25.0,12.0,11.0,0,2
16,147,2017,2017.0,16.0,1,0,2,1226000.0,6.0,0,65457.0,29.0,10.0,17.0,2,8
8,66,2017,2017.0,18.7,4,1,1,725000.0,5.0,0,23682.0,22.0,12.0,12.0,0,2
9,86,2020,2020.0,22.0,1,1,1,1150000.0,6.0,0,50000.0,30.0,11.0,9.0,2,7
17,179,2015,2015.0,25.2,1,1,2,629000.0,5.0,0,134557.0,24.0,11.0,12.0,0,2
17,180,2013,2013.0,22.41,4,1,2,447000.0,5.0,0,96567.0,24.0,10.0,9.0,0,7
17,165,2014,2015.0,20.77,1,1,2,786000.0,5.0,0,83007.0,23.0,12.0,10.0,0,5
8,66,2018,2018.0,18.7,4,1,1,745000.0,5.0,0,34000.0,22.0,12.0,13.0,0,2
9,77,2014,2014.0,18.9,4,0,1,490000.00000000006,4.0,0,81634.0,17.0,11.0,14.0,0,2
8,63,2017,2017.0,18.0,4,0,2,942000.0,5.0,0,57284.0,29.0,12.0,13.0,0,7
6,50,2016,2016.0,15.63,4,0,2,675000.0,6.0,0,70000.0,25.0,13.0,13.0,2,8
8,61,2013,2013.0,19.4,4,1,2,330000.0,5.0,0,70000.0,16.0,10.0,6.0,2,2
28,295,2018,2018.0,17.8,4,0,2,875000.0,7.0,0,46429.0,26.0,13.0,11.0,2,7
17,157,2017,2018.0,21.4,4,1,1,869000.0,5.0,0,17624.0,28.0,12.0,13.0,0,2
29,305,2012,2012.0,20.54,1,1,2,425000.0,5.0,0,100000.0,18.0,12.0,10.0,2,7
8,63,2019,2019.0,17.4,4,1,1,1070000.0,5.0,0,30000.0,28.0,11.0,11.0,2,7
6,50,2018,2018.0,15.9,4,1,2,1025000.0,5.0,0,49690.0,29.0,13.0,16.0,2,8
16,147,2016,2016.0,16.0,1,1,1,1000000.0,6.0,0,110000.0,22.0,11.0,14.0,2,8
5,43,2009,2009.0,16.0,4,1,1,375000.0,5.0,0,50000.0,23.0,12.0,9.0,2,7
6,50,2018,2018.0,14.8,4,0,1,844000.0,6.0,0,55702.0,33.0,12.0,13.0,0,8
9,91,2016,2016.0,21.19,1,1,1,764000.0,6.0,0,45046.0,24.0,11.0,14.0,2,2
17,175,2014,2014.0,18.5,4,1,2,420000.0,5.0,0,53000.0,16.0,9.0,7.0,2,2
17,157,2016,2016.0,27.39,1,1,1,684000.0,5.0,0,94695.0,28.0,12.0,13.0,2,2
17,157,2019,2019.0,21.4,4,1,1,802999.9999999999,5.0,0,22162.0,28.0,12.0,13.0,3,2
9,82,2010,2010.0,17.92,4,1,2,320000.0,5.0,0,70000.0,16.0,6.0,6.0,2,2
8,63,2017,2018.0,26.0,1,1,1,803999.9999999999,6.0,0,115331.0,23.0,12.0,10.0,0,7
18,200,2013,2013.0,10.0,1,0,2,1400000.0,5.0,0,70000.0,26.0,12.0,16.0,2,7
17,179,2016,2016.0,22.38,4,1,2,548000.0,5.0,0,42233.0,26.0,7.0,7.0,0,2
9,77,2019,2019.0,18.9,4,1,1,619000.0,5.0,0,20941.0,24.0,9.0,13.0,0,2
17,183,2018,2018.0,24.3,1,1,2,1000000.0,5.0,0,50000.0,27.0,11.0,15.0,2,8
