oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
19,112,2022,2022.0,22.0,3,0,1,550000.0,5.0,0,10000.0,4.468085106382979,3.5294117647058827,2.6923076923076925,2,0
21,131,2018,2018.0,21.5,1,1,1,825000.0,6.0,0,53645.0,4.042553191489362,5.882352941176471,1.9230769230769236,0,4
13,77,2014,2014.0,26.68,3,0,1,428000.0,5.0,0,53982.0,4.680851063829787,4.11764705882353,1.9230769230769236,0,0
20,119,2014,2014.0,21.14,1,1,1,695000.0,5.0,0,110000.0,4.042553191489362,6.470588235294118,3.8461538461538463,2,3
6,22,2019,2019.0,15.9,3,1,2,930000.0,5.0,0,37741.0,5.957446808510639,7.058823529411765,5.769230769230769,2,4
13,72,2021,2021.0,22.05,3,1,1,455000.0,5.0,0,17367.0,3.404255319148936,2.941176470588235,1.5384615384615383,0,0
8,39,2017,2017.0,19.67,1,1,1,1195000.0,6.0,0,94000.0,4.893617021276596,5.882352941176471,5.769230769230769,0,4
21,125,2021,2021.0,14.6,1,0,1,2175000.0,6.0,0,33700.0,4.893617021276596,8.23529411764706,5.769230769230769,0,4
13,89,2014,2014.0,22.38,3,1,3,442000.0,5.0,0,54601.0,5.319148936170214,3.5294117647058827,2.307692307692308,0,0
13,89,2018,2018.0,28.4,1,1,1,690000.0,5.0,0,110000.0,5.319148936170214,5.294117647058824,1.5384615384615383,2,0
13,77,2017,2017.0,23.1,3,1,2,500000.0,5.0,0,64000.0,4.255319148936171,5.294117647058824,3.4615384615384617,2,0
13,79,2015,2015.0,26.21,1,1,1,650000.0,5.0,0,100000.0,4.255319148936171,5.882352941176471,3.076923076923077,2,3
7,33,2016,2016.0,19.0,3,0,2,537000.0,5.0,0,44154.0,4.468085106382979,6.470588235294118,4.230769230769231,0,0
21,133,2017,2018.0,23.84,3,1,2,468000.0,5.0,0,68039.0,4.468085106382979,5.294117647058824,2.307692307692308,2,0
13,85,2014,2014.0,18.5,3,1,2,420000.0,5.0,0,60000.0,3.191489361702128,4.705882352941177,2.307692307692308,2,0
8,54,2021,2021.0,20.0,3,1,1,920000.0,6.0,0,10000.0,7.23404255319149,6.470588235294118,6.923076923076923,2,0
7,30,2013,2013.0,16.8,3,1,1,533000.0,5.0,0,49873.0,3.404255319148936,3.5294117647058827,2.6923076923076925,2,3
23,150,2013,2013.0,17.2,3,0,3,850000.0,7.0,0,90000.0,3.191489361702128,5.882352941176471,3.4615384615384617,2,0
20,119,2017,2017.0,21.13,1,1,2,751000.0,5.0,0,48960.0,5.531914893617022,7.058823529411765,3.8461538461538463,2,3
8,43,2014,2014.0,24.0,1,1,2,388000.0,5.0,0,70000.0,2.5531914893617023,4.11764705882353,0.7692307692307694,2,0
8,54,2013,2013.0,18.5,3,1,2,490000.00000000006,5.0,0,68000.0,3.8297872340425534,5.882352941176471,3.4615384615384617,0,0
12,65,2016,2016.0,25.32,1,1,1,494000.00000000006,5.0,0,23017.0,4.042553191489362,5.882352941176471,3.4615384615384617,2,4
8,54,2013,2014.0,21.27,1,1,2,525000.0,6.0,0,83000.0,4.042553191489362,5.882352941176471,4.615384615384615,0,0
13,93,2018,2018.0,20.51,3,1,1,550000.0,5.0,0,62139.0,4.255319148936171,4.705882352941177,4.230769230769231,0,0
8,53,2013,2013.0,19.2,2,1,1,365000.0,5.0,0,74000.0,2.7659574468085104,2.941176470588235,1.5384615384615383,0,0
19,112,2016,2016.0,24.04,3,0,2,420000.0,5.0,0,26500.0,4.255319148936171,4.705882352941177,2.307692307692308,0,0
12,68,2022,2022.0,17.0,3,0,1,1050000.0,6.0,0,10000.0,5.531914893617022,5.294117647058824,3.4615384615384617,2,4
15,64,2021,2021.0,16.56,3,0,1,2075000.0,6.0,0,18000.0,4.893617021276596,2.3529411764705883,8.461538461538462,0,4
7,28,2013,2013.0,19.4,3,1,1,394000.0,5.0,0,38197.0,3.191489361702128,4.11764705882353,1.5384615384615383,2,0
13,74,2017,2017.0,19.56,3,0,2,725000.0,5.0,0,23000.0,5.531914893617022,5.882352941176471,5.384615384615384,0,0
13,73,2013,2013.0,20.92,3,1,1,240000.0,5.0,0,50000.0,1.276595744680851,2.3529411764705883,0.7692307692307694,2,0
19,113,2022,2022.0,19.03,3,0,1,835000.0,5.0,0,10000.0,5.1063829787234045,5.882352941176471,5.384615384615384,2,4
8,43,2019,2019.0,18.9,3,1,1,695000.0,5.0,0,19000.0,4.893617021276596,5.882352941176471,5.0,2,0
10,59,2020,2020.0,16.5,3,0,1,1725000.0,7.0,0,14000.0,7.021276595744681,7.647058823529413,7.3076923076923075,0,4
8,40,2014,2014.0,21.1,3,1,1,330000.0,5.0,0,29268.0,2.978723404255319,3.5294117647058827,2.307692307692308,0,0
